center,surround,type,surr_type,surr_opacity
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
0.5,15.0,m3,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
1.5,15.0,m2,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.0,15.0,m1,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
2.5,15.0,PSE,poss,100
